force,month,outcome_group,crimes,pct_of_month
Metropolitan Police Service,2025-05-01,No suspect identified,41797,53.71
Metropolitan Police Service,2025-05-01,Out-of-court resolution,2623,3.37
Metropolitan Police Service,2025-05-01,Still in progress / no update,4805,6.17
Metropolitan Police Service,2025-05-01,"Suspect known, unable to prosecute",23807,30.59
Metropolitan Police Service,2025-06-01,Charged or court process,4551,5.85
Metropolitan Police Service,2025-06-01,Closed: not in the public interest,259,0.33
Metropolitan Police Service,2025-06-01,No suspect identified,41188,52.96
Metropolitan Police Service,2025-06-01,Out-of-court resolution,2762,3.55
Metropolitan Police Service,2025-06-01,Still in progress / no update,5665,7.28
Metropolitan Police Service,2025-06-01,"Suspect known, unable to prosecute",23354,30.03
Metropolitan Police Service,2025-07-01,Charged or court process,4927,6.04
Metropolitan Police Service,2025-07-01,Closed: not in the public interest,313,0.38
Metropolitan Police Service,2025-07-01,No suspect identified,42559,52.16
Metropolitan Police Service,2025-07-01,Out-of-court resolution,2749,3.37
Metropolitan Police Service,2025-07-01,Still in progress / no update,6588,8.07
Metropolitan Police Service,2025-07-01,"Suspect known, unable to prosecute",24459,29.98
Metropolitan Police Service,2025-08-01,Charged or court process,4938,6.53
Metropolitan Police Service,2025-08-01,Closed: not in the public interest,277,0.37
Metropolitan Police Service,2025-08-01,No suspect identified,39863,52.68
Metropolitan Police Service,2025-08-01,Out-of-court resolution,2785,3.68
Metropolitan Police Service,2025-08-01,Still in progress / no update,6378,8.43
Metropolitan Police Service,2025-08-01,"Suspect known, unable to prosecute",21422,28.31
Metropolitan Police Service,2025-09-01,Charged or court process,4372,5.91
Metropolitan Police Service,2025-09-01,Closed: not in the public interest,291,0.39
Metropolitan Police Service,2025-09-01,No suspect identified,39607,53.54
Metropolitan Police Service,2025-09-01,Out-of-court resolution,2551,3.45
Metropolitan Police Service,2025-09-01,Still in progress / no update,6327,8.55
Metropolitan Police Service,2025-09-01,"Suspect known, unable to prosecute",20827,28.15
Metropolitan Police Service,2025-10-01,Charged or court process,4264,5.52
Metropolitan Police Service,2025-10-01,Closed: not in the public interest,217,0.28
