force,lsoa_code,lsoa_name,crimes,crime_rank,decile,pct_of_force_crime,cumulative_pct
Metropolitan Police Service,E01035716,Westminster 013G,28467,1,1,1.214,1.21
Metropolitan Police Service,E01004763,Westminster 013B,20659,2,1,0.881,2.10
Metropolitan Police Service,E01004734,Westminster 018A,19413,3,1,0.828,2.92
Metropolitan Police Service,E01004736,Westminster 018C,12742,4,1,0.544,3.47
Metropolitan Police Service,E01002444,Hillingdon 031A,12213,5,1,0.521,3.99
Metropolitan Police Service,E01004714,Westminster 011B,8940,6,1,0.381,4.37
Metropolitan Police Service,E01034220,Newham 039D,8432,7,1,0.360,4.73
Metropolitan Police Service,E01002968,Kingston upon Thames 009C,7509,8,1,0.320,5.05
Metropolitan Police Service,E01004735,Westminster 018B,7237,9,1,0.309,5.36
Metropolitan Police Service,E01004765,Westminster 013D,6603,10,1,0.282,5.64
Metropolitan Police Service,E01001943,Hammersmith and Fulham 004A,6129,11,1,0.261,5.90
Metropolitan Police Service,E01000919,Camden 028D,5815,12,1,0.248,6.15
Metropolitan Police Service,E01035711,Camden 026E,5243,13,1,0.224,6.37
Metropolitan Police Service,E01004761,Westminster 018D,5127,14,1,0.219,6.59
Metropolitan Police Service,E01000863,Camden 021A,5084,15,1,0.217,6.81
Metropolitan Police Service,E01003047,Lambeth 011B,5022,16,1,0.214,7.02
Metropolitan Police Service,E01003013,Lambeth 036A,4919,17,1,0.210,7.23
Metropolitan Police Service,E01035718,Westminster 019G,4900,18,1,0.209,7.44
Metropolitan Police Service,E01033708,Hackney 033C,4771,19,1,0.204,7.65
Metropolitan Police Service,E01003929,Southwark 002B,4608,20,1,0.197,7.84
Metropolitan Police Service,E01032582,Lambeth 036E,4366,21,1,0.186,8.03
Metropolitan Police Service,E01034030,Ealing 042A,4223,22,1,0.180,8.21
Metropolitan Police Service,E01002704,Islington 023D,3925,23,1,0.167,8.38
Metropolitan Police Service,E01004733,Westminster 020C,3794,24,1,0.162,8.54
Metropolitan Police Service,E01002129,Harrow 023C,3760,25,1,0.160,8.70
Metropolitan Police Service,E01004067,Southwark 022E,3712,26,1,0.158,8.86
Metropolitan Police Service,E01000914,Camden 028B,3698,27,1,0.158,9.01
Metropolitan Police Service,E01033083,Hounslow 018F,3686,28,1,0.157,9.17
Metropolitan Police Service,E01004731,Westminster 020A,3666,29,1,0.156,9.33
Metropolitan Police Service,E01000855,Camden 028A,3655,30,1,0.156,9.48
Metropolitan Police Service,E01001898,Hammersmith and Fulham 013C,3484,31,1,0.149,9.63
Metropolitan Police Service,E01002770,Islington 004B,3433,32,1,0.146,9.78
Metropolitan Police Service,E01000850,Camden 026A,3384,33,1,0.144,9.92
Metropolitan Police Service,E01004762,Westminster 011E,3320,34,1,0.142,10.06
Metropolitan Police Service,E01001361,Ealing 023E,3208,35,1,0.137,10.20
Metropolitan Police Service,E01000918,Camden 028C,3191,36,1,0.136,10.34
Metropolitan Police Service,E01002734,Islington 005B,3166,37,1,0.135,10.47
Metropolitan Police Service,E01003689,Redbridge 039C,3134,38,1,0.134,10.61
Metropolitan Police Service,E01034188,Greenwich 040A,3090,39,1,0.132,10.74
Metropolitan Police Service,E01001429,Enfield 030D,3087,40,1,0.132,10.87
Metropolitan Police Service,E01004750,Westminster 023E,3078,41,1,0.131,11.00
Metropolitan Police Service,E01032771,Tower Hamlets 033B,2975,42,1,0.127,11.13
Metropolitan Police Service,E01004397,Waltham Forest 017C,2963,43,1,0.126,11.25
Metropolitan Police Service,E01002029,Haringey 016B,2938,44,1,0.125,11.38
Metropolitan Police Service,E01002794,Islington 020B,2864,45,1,0.122,11.50
Metropolitan Police Service,E01033942,Brent 035D,2856,46,1,0.122,11.62
Metropolitan Police Service,E01002521,Hillingdon 016C,2845,47,1,0.121,11.75
Metropolitan Police Service,E01002356,Havering 013C,2761,48,1,0.118,11.86
Metropolitan Police Service,E01003521,Newham 018B,2643,49,1,0.113,11.98
Metropolitan Police Service,E01004658,Westminster 012B,2575,50,1,0.110,12.09
Metropolitan Police Service,E01002034,Haringey 037A,2562,51,1,0.109,12.19
Metropolitan Police Service,E01004525,Wandsworth 035A,2537,52,1,0.108,12.30
Metropolitan Police Service,E01034473,Barking and Dagenham 015E,2537,52,1,0.108,12.41
Metropolitan Police Service,E01032741,Havering 013E,2531,54,1,0.108,12.52
Metropolitan Police Service,E01035708,Camden 022F,2531,54,1,0.108,12.63
Metropolitan Police Service,E01004307,Tower Hamlets 015B,2529,56,1,0.108,12.74
Metropolitan Police Service,E01000947,Camden 021C,2505,57,1,0.107,12.84
Metropolitan Police Service,E01002711,Islington 021B,2471,58,1,0.105,12.95
Metropolitan Police Service,E01001247,Ealing 015E,2430,59,1,0.104,13.05
Metropolitan Police Service,E01001013,Croydon 020B,2368,60,1,0.101,13.15
Metropolitan Police Service,E01004748,Westminster 020E,2341,61,1,0.100,13.25
Metropolitan Police Service,E01000939,Camden 029B,2308,62,1,0.098,13.35
Metropolitan Police Service,E01034200,Newham 012F,2302,63,1,0.098,13.45
Metropolitan Police Service,E01002069,Haringey 024B,2276,64,1,0.097,13.55
Metropolitan Police Service,E01004438,Waltham Forest 024C,2260,65,1,0.096,13.64
Metropolitan Police Service,E01002724,Islington 022D,2259,66,1,0.096,13.74
Metropolitan Police Service,E01034145,Croydon 024G,2253,67,1,0.096,13.83
Metropolitan Police Service,E01003783,Redbridge 029A,2238,68,1,0.095,13.93
Metropolitan Police Service,E01003876,Richmond upon Thames 008B,2224,69,1,0.095,14.02
Metropolitan Police Service,E01003318,Lewisham 020B,2211,70,1,0.094,14.12
Metropolitan Police Service,E01001760,Hackney 017C,2207,71,1,0.094,14.21
Metropolitan Police Service,E01002026,Haringey 016A,2197,72,1,0.094,14.31
Metropolitan Police Service,E01004208,Tower Hamlets 013C,2188,73,1,0.093,14.40
Metropolitan Police Service,E01003934,Southwark 002C,2165,74,1,0.092,14.49
Metropolitan Police Service,E01032739,City of London 001F,2159,75,1,0.092,14.58
Metropolitan Police Service,E01033706,Hackney 033B,2138,76,1,0.091,14.68
Metropolitan Police Service,E01004657,Westminster 012A,2131,77,1,0.091,14.77
Metropolitan Police Service,E01000676,Bromley 008B,2123,78,1,0.091,14.86
Metropolitan Police Service,E01004661,Westminster 012C,2118,79,1,0.090,14.95
Metropolitan Police Service,E01033594,Westminster 015G,2098,80,1,0.089,15.04
Metropolitan Police Service,E01003981,Southwark 006F,2084,81,1,0.089,15.13
Metropolitan Police Service,E01001249,Ealing 028A,2072,82,1,0.088,15.21
Metropolitan Police Service,E01003035,Lambeth 012B,2058,83,1,0.088,15.30
Metropolitan Police Service,E01003770,Redbridge 022B,2055,84,1,0.088,15.39
Metropolitan Police Service,E01033699,Hackney 030A,2053,85,1,0.088,15.48
Metropolitan Police Service,E01000858,Camden 018B,2050,86,1,0.087,15.57
Metropolitan Police Service,E01035652,Islington 007F,2040,87,1,0.087,15.65
Metropolitan Police Service,E01000524,Brent 031B,2033,88,1,0.087,15.74
Metropolitan Police Service,E01034150,Croydon 046D,2033,88,1,0.087,15.83
Metropolitan Police Service,E01035670,Tower Hamlets 010G,2015,90,1,0.086,15.91
Metropolitan Police Service,E01003618,Newham 012C,1992,91,1,0.085,16.00
Metropolitan Police Service,E01033737,Greenwich 042B,1982,92,1,0.085,16.08
Metropolitan Police Service,E01004474,Wandsworth 021B,1977,93,1,0.084,16.17
Metropolitan Police Service,E01000916,Camden 027B,1946,94,1,0.083,16.25
Metropolitan Police Service,E01034474,Barking and Dagenham 015F,1941,95,1,0.083,16.33
Metropolitan Police Service,E01002870,Kensington and Chelsea 005A,1925,96,1,0.082,16.41
Metropolitan Police Service,E01033327,Lewisham 041B,1925,96,1,0.082,16.50
Metropolitan Police Service,E01034149,Croydon 046C,1924,98,1,0.082,16.58
Metropolitan Police Service,E01001367,Ealing 043B,1890,99,1,0.081,16.66
Metropolitan Police Service,E01000362,Bexley 015B,1884,100,1,0.080,16.74
Metropolitan Police Service,E01000307,Barnet 039D,1882,101,1,0.080,16.82
Metropolitan Police Service,E01002130,Harrow 020B,1874,102,1,0.080,16.90
Metropolitan Police Service,E01003102,Lambeth 004A,1873,103,1,0.080,16.98
Metropolitan Police Service,E01003055,Lambeth 016D,1872,104,1,0.080,17.06
Metropolitan Police Service,E01000095,Barking and Dagenham 018E,1862,105,1,0.079,17.14
Metropolitan Police Service,E01033884,Southwark 035A,1859,106,1,0.079,17.22
Metropolitan Police Service,E01003994,Southwark 012E,1856,107,1,0.079,17.30
Metropolitan Police Service,E01003619,Newham 012D,1834,108,1,0.078,17.37
Metropolitan Police Service,E01002505,Hillingdon 026D,1817,109,1,0.078,17.45
Metropolitan Police Service,E01003304,Lewisham 039D,1816,110,1,0.077,17.53
Metropolitan Police Service,E01034148,Croydon 046B,1816,110,1,0.077,17.61
Metropolitan Police Service,E01035710,Camden 023F,1805,112,1,0.077,17.68
Metropolitan Police Service,E01033589,Redbridge 039B,1763,113,1,0.075,17.76
Metropolitan Police Service,E01000548,Brent 028D,1747,114,1,0.075,17.83
Metropolitan Police Service,E01002031,Haringey 016D,1747,114,1,0.075,17.91
Metropolitan Police Service,E01035721,Westminster 023H,1729,116,1,0.074,17.98
Metropolitan Police Service,E01002795,Islington 013D,1728,117,1,0.074,18.06
Metropolitan Police Service,E01034209,Newham 034K,1719,118,1,0.073,18.13
Metropolitan Police Service,E01001513,Enfield 012F,1717,119,1,0.073,18.20
Metropolitan Police Service,E01000193,Barnet 018B,1709,120,1,0.073,18.28
Metropolitan Police Service,E01002696,Islington 020A,1705,121,1,0.073,18.35
Metropolitan Police Service,E01003041,Lambeth 017C,1702,122,1,0.073,18.42
Metropolitan Police Service,E01003921,Southwark 021C,1699,123,1,0.072,18.49
Metropolitan Police Service,E01000601,Brent 021B,1698,124,1,0.072,18.57
Metropolitan Police Service,E01001899,Hammersmith and Fulham 013D,1683,125,1,0.072,18.64
Metropolitan Police Service,E01000714,Bromley 006D,1678,126,1,0.072,18.71
Metropolitan Police Service,E01004551,Wandsworth 012E,1673,127,1,0.071,18.78
Metropolitan Police Service,E01001559,Enfield 033F,1668,128,1,0.071,18.85
Metropolitan Police Service,E01002818,Kensington and Chelsea 012A,1660,129,1,0.071,18.92
Metropolitan Police Service,E01001857,Hammersmith and Fulham 007D,1655,130,1,0.071,18.99
Metropolitan Police Service,E01033936,Brent 020G,1641,131,1,0.070,19.06
Metropolitan Police Service,E01004749,Westminster 022B,1640,132,1,0.070,19.13
Metropolitan Police Service,E01034156,Sutton 012G,1640,132,1,0.070,19.20
Metropolitan Police Service,E01003076,Lambeth 014C,1624,134,1,0.069,19.27
Metropolitan Police Service,E01002002,Haringey 031C,1621,135,1,0.069,19.34
Metropolitan Police Service,E01033874,Southwark 009H,1601,136,1,0.068,19.41
Metropolitan Police Service,E01001941,Hammersmith and Fulham 005C,1595,137,1,0.068,19.48
Metropolitan Police Service,E01000790,Bromley 028C,1585,138,1,0.068,19.55
Metropolitan Police Service,E01001849,Hackney 018D,1584,139,1,0.068,19.61
Metropolitan Police Service,E01002506,Hillingdon 027E,1584,139,1,0.068,19.68
Metropolitan Police Service,E01004675,Westminster 005B,1556,141,1,0.066,19.75
Metropolitan Police Service,E01003569,Newham 017B,1554,142,1,0.066,19.81
Metropolitan Police Service,E01004699,Westminster 017F,1553,143,1,0.066,19.88
Metropolitan Police Service,E01003291,Lewisham 041D,1551,144,1,0.066,19.95
Metropolitan Police Service,E01002735,Islington 003A,1547,145,1,0.066,20.01
Metropolitan Police Service,E01004455,Waltham Forest 006D,1545,146,1,0.066,20.08
Metropolitan Police Service,E01001729,Hackney 019A,1542,147,1,0.066,20.14
Metropolitan Police Service,E01004420,Waltham Forest 020C,1531,148,1,0.065,20.21
Metropolitan Police Service,E01003933,Southwark 034C,1529,149,1,0.065,20.27
Metropolitan Police Service,E01001261,Ealing 012C,1524,150,1,0.065,20.34
Metropolitan Police Service,E01001501,Enfield 036E,1522,151,1,0.065,20.40
Metropolitan Police Service,E01002412,Hillingdon 017B,1522,151,1,0.065,20.47
Metropolitan Police Service,E01033927,Enfield 020F,1522,151,1,0.065,20.53
Metropolitan Police Service,E01034608,Hillingdon 022G,1508,154,1,0.064,20.60
Metropolitan Police Service,E01001507,Enfield 012D,1506,155,1,0.064,20.66
Metropolitan Police Service,E01004609,Wandsworth 010E,1497,156,1,0.064,20.73
Metropolitan Police Service,E01004682,Westminster 016B,1491,157,1,0.064,20.79
Metropolitan Police Service,E01002831,Kensington and Chelsea 004C,1489,158,1,0.064,20.85
Metropolitan Police Service,E01004031,Southwark 007B,1478,159,1,0.063,20.92
Metropolitan Police Service,E01004430,Waltham Forest 026D,1478,159,1,0.063,20.98
Metropolitan Police Service,E01000851,Camden 026B,1472,161,1,0.063,21.04
Metropolitan Police Service,E01034394,Lewisham 040C,1468,162,1,0.063,21.10
Metropolitan Police Service,E01034205,Newham 033E,1464,163,1,0.062,21.17
Metropolitan Police Service,E01000403,Bexley 004A,1461,164,1,0.062,21.23
Metropolitan Police Service,E01002702,Islington 023B,1449,165,1,0.062,21.29
Metropolitan Police Service,E01004626,Wandsworth 027F,1439,166,1,0.061,21.35
Metropolitan Police Service,E01034152,Croydon 047B,1439,166,1,0.061,21.41
Metropolitan Police Service,E01000972,Camden 010D,1433,168,1,0.061,21.47
Metropolitan Police Service,E01004322,Tower Hamlets 017A,1432,169,1,0.061,21.54
Metropolitan Police Service,E01003520,Newham 018A,1425,170,1,0.061,21.60
Metropolitan Police Service,E01001202,Ealing 025C,1417,171,1,0.060,21.66
Metropolitan Police Service,E01001097,Croydon 037E,1416,172,1,0.060,21.72
Metropolitan Police Service,E01034179,Greenwich 035F,1411,173,1,0.060,21.78
Metropolitan Police Service,E01001731,Hackney 017A,1404,174,1,0.060,21.84
Metropolitan Police Service,E01004712,Westminster 008C,1398,175,1,0.060,21.90
Metropolitan Police Service,E01033491,Islington 011H,1393,176,1,0.059,21.96
Metropolitan Police Service,E01001351,Ealing 025E,1391,177,1,0.059,22.02
Metropolitan Police Service,E01001528,Enfield 032B,1388,178,1,0.059,22.08
Metropolitan Police Service,E01003383,Merton 009D,1386,179,1,0.059,22.13
Metropolitan Police Service,E01002353,Havering 013B,1378,180,1,0.059,22.19
Metropolitan Police Service,E01001042,Croydon 024B,1376,181,1,0.059,22.25
Metropolitan Police Service,E01033132,Wandsworth 038D,1376,181,1,0.059,22.31
Metropolitan Police Service,E01033704,Hackney 023F,1376,181,1,0.059,22.37
Metropolitan Police Service,E01002681,Hounslow 014C,1373,184,1,0.059,22.43
Metropolitan Police Service,E01033862,Lambeth 003F,1372,185,1,0.059,22.49
Metropolitan Police Service,E01034187,Greenwich 039D,1370,186,1,0.058,22.54
Metropolitan Police Service,E01032583,Southwark 034D,1366,187,1,0.058,22.60
Metropolitan Police Service,E01034386,Bromley 018G,1358,188,1,0.058,22.66
Metropolitan Police Service,E01000898,Camden 008E,1356,189,1,0.058,22.72
Metropolitan Police Service,E01004277,Tower Hamlets 033A,1355,190,1,0.058,22.78
Metropolitan Police Service,E01034602,Hillingdon 015H,1354,191,1,0.058,22.83
Metropolitan Police Service,E01003769,Redbridge 022A,1349,192,1,0.058,22.89
Metropolitan Police Service,E01035687,Tower Hamlets 021H,1338,193,1,0.057,22.95
Metropolitan Police Service,E01002598,Hounslow 025B,1337,194,1,0.057,23.01
Metropolitan Police Service,E01004309,Tower Hamlets 015D,1336,195,1,0.057,23.06
Metropolitan Police Service,E01002066,Haringey 025A,1330,196,1,0.057,23.12
Metropolitan Police Service,E01002695,Islington 021A,1329,197,1,0.057,23.18
Metropolitan Police Service,E01000976,Croydon 022B,1324,198,1,0.056,23.23
Metropolitan Police Service,E01000007,Barking and Dagenham 015A,1323,199,1,0.056,23.29
Metropolitan Police Service,E01001178,Croydon 015D,1319,200,1,0.056,23.35
Metropolitan Police Service,E01003016,Lambeth 036C,1315,201,1,0.056,23.40
Metropolitan Police Service,E01003017,Lambeth 036D,1315,201,1,0.056,23.46
Metropolitan Police Service,E01033735,Greenwich 042D,1311,203,1,0.056,23.51
Metropolitan Police Service,E01004717,Westminster 011D,1310,204,1,0.056,23.57
Metropolitan Police Service,E01000568,Brent 008D,1309,205,1,0.056,23.63
Metropolitan Police Service,E01001333,Ealing 038A,1305,206,1,0.056,23.68
Metropolitan Police Service,E01003601,Newham 028A,1305,206,1,0.056,23.74
Metropolitan Police Service,E01034155,Sutton 012F,1301,208,1,0.055,23.79
Metropolitan Police Service,E01035493,Wandsworth 010K,1301,208,1,0.055,23.85
Metropolitan Police Service,E01033873,Southwark 009G,1300,210,1,0.055,23.90
Metropolitan Police Service,E01002774,Islington 004E,1297,211,1,0.055,23.96
Metropolitan Police Service,E01033944,Haringey 015F,1294,212,1,0.055,24.01
Metropolitan Police Service,E01002361,Havering 020C,1292,213,1,0.055,24.07
Metropolitan Police Service,E01002179,Harrow 013A,1291,214,1,0.055,24.12
Metropolitan Police Service,E01033700,Hackney 030B,1288,215,1,0.055,24.18
Metropolitan Police Service,E01000931,Camden 013C,1287,216,1,0.055,24.23
Metropolitan Police Service,E01002077,Haringey 012B,1287,216,1,0.055,24.29
Metropolitan Police Service,E01002514,Hillingdon 015C,1287,216,1,0.055,24.34
Metropolitan Police Service,E01033881,Southwark 016F,1286,219,1,0.055,24.40
Metropolitan Police Service,E01000299,Barnet 019A,1285,220,1,0.055,24.45
Metropolitan Police Service,E01002447,Hillingdon 031C,1282,221,1,0.055,24.51
Metropolitan Police Service,E01000946,Camden 021B,1280,222,1,0.055,24.56
Metropolitan Police Service,E01001747,Hackney 014B,1280,222,1,0.055,24.62
Metropolitan Police Service,E01002081,Haringey 012D,1279,224,1,0.055,24.67
Metropolitan Police Service,E01034385,Bromley 018F,1273,225,1,0.054,24.73
Metropolitan Police Service,E01003939,Southwark 002E,1271,226,1,0.054,24.78
Metropolitan Police Service,E01004727,Westminster 008D,1271,226,1,0.054,24.83
Metropolitan Police Service,E01000545,Brent 028A,1263,228,1,0.054,24.89
Metropolitan Police Service,E01033587,Barking and Dagenham 021E,1263,228,1,0.054,24.94
Metropolitan Police Service,E01033865,Lambeth 004I,1263,228,1,0.054,25.00
Metropolitan Police Service,E01003937,Southwark 009B,1259,231,1,0.054,25.05
Metropolitan Police Service,E01000550,Brent 034B,1257,232,1,0.054,25.10
Metropolitan Police Service,E01003074,Lambeth 018E,1256,233,1,0.054,25.16
Metropolitan Police Service,E01002850,Kensington and Chelsea 013D,1253,234,1,0.053,25.21
Metropolitan Police Service,E01004306,Tower Hamlets 015A,1248,235,1,0.053,25.26
Metropolitan Police Service,E01002637,Hounslow 005C,1246,236,1,0.053,25.32
Metropolitan Police Service,E01002821,Kensington and Chelsea 014A,1243,237,1,0.053,25.37
Metropolitan Police Service,E01003061,Lambeth 011F,1236,238,1,0.053,25.42
Metropolitan Police Service,E01002497,Hillingdon 033B,1235,239,1,0.053,25.48
Metropolitan Police Service,E01002003,Haringey 023C,1233,240,1,0.053,25.53
Metropolitan Police Service,E01003129,Lambeth 004E,1232,241,1,0.053,25.58
Metropolitan Police Service,E01001155,Croydon 010E,1223,242,1,0.052,25.63
Metropolitan Police Service,E01003334,Lewisham 033E,1219,243,1,0.052,25.68
Metropolitan Police Service,E01033867,Southwark 002F,1215,244,1,0.052,25.74
Metropolitan Police Service,E01004617,Wandsworth 034D,1212,245,1,0.052,25.79
Metropolitan Police Service,E01000360,Bexley 015A,1209,246,1,0.052,25.84
Metropolitan Police Service,E01003456,Merton 003C,1209,246,1,0.052,25.89
Metropolitan Police Service,E01002835,Kensington and Chelsea 016C,1208,248,1,0.052,25.94
Metropolitan Police Service,E01003199,Lewisham 007A,1208,248,1,0.052,25.99
Metropolitan Police Service,E01001609,Greenwich 027D,1207,250,1,0.051,26.05
Metropolitan Police Service,E01000129,Barnet 024D,1201,251,1,0.051,26.10
Metropolitan Police Service,E01000719,Bromley 019A,1201,251,1,0.051,26.15
Metropolitan Police Service,E01002726,Islington 022F,1198,253,1,0.051,26.20
Metropolitan Police Service,E01004293,Tower Hamlets 027B,1198,253,1,0.051,26.25
Metropolitan Police Service,E01002641,Hounslow 018A,1194,255,1,0.051,26.30
Metropolitan Police Service,E01003118,Lambeth 029C,1194,255,1,0.051,26.35
Metropolitan Police Service,E01001701,Greenwich 015C,1189,257,1,0.051,26.40
Metropolitan Police Service,E01000257,Barnet 017B,1186,258,1,0.051,26.45
Metropolitan Police Service,E01003427,Merton 023A,1186,258,1,0.051,26.50
Metropolitan Police Service,E01002859,Kensington and Chelsea 012C,1185,260,1,0.051,26.55
Metropolitan Police Service,E01004392,Waltham Forest 017A,1184,261,1,0.051,26.61
Metropolitan Police Service,E01002345,Havering 030B,1182,262,1,0.050,26.66
Metropolitan Police Service,E01003303,Lewisham 039C,1182,262,1,0.050,26.71
Metropolitan Police Service,E01032573,Hounslow 029E,1182,262,1,0.050,26.76
Metropolitan Police Service,E01001450,Enfield 015C,1180,265,1,0.050,26.81
Metropolitan Police Service,E01001167,Croydon 028A,1175,266,1,0.050,26.86
Metropolitan Police Service,E01000105,Barking and Dagenham 014C,1172,267,1,0.050,26.91
Metropolitan Police Service,E01000642,Brent 022D,1172,267,1,0.050,26.96
Metropolitan Police Service,E01002819,Kensington and Chelsea 012B,1172,267,1,0.050,27.01
Metropolitan Police Service,E01002748,Islington 006C,1169,270,1,0.050,27.06
Metropolitan Police Service,E01000141,Barnet 039A,1168,271,1,0.050,27.11
Metropolitan Police Service,E01004552,Wandsworth 008C,1168,271,1,0.050,27.16
Metropolitan Police Service,E01002068,Haringey 025B,1167,273,1,0.050,27.21
Metropolitan Police Service,E01003502,Newham 030C,1166,274,1,0.050,27.26
Metropolitan Police Service,E01003896,Richmond upon Thames 014C,1163,275,1,0.050,27.31
Metropolitan Police Service,E01002282,Havering 004B,1161,276,1,0.050,27.36
Metropolitan Police Service,E01002914,Kensington and Chelsea 019E,1153,277,1,0.049,27.40
Metropolitan Police Service,E01004679,Westminster 005E,1150,278,1,0.049,27.45
Metropolitan Police Service,E01001511,Enfield 016D,1146,279,1,0.049,27.50
Metropolitan Police Service,E01001734,Hackney 017B,1146,279,1,0.049,27.55
Metropolitan Police Service,E01001089,Croydon 004C,1145,281,1,0.049,27.60
Metropolitan Police Service,E01000640,Brent 024B,1143,282,1,0.049,27.65
Metropolitan Police Service,E01003020,Lambeth 016A,1142,283,1,0.049,27.70
Metropolitan Police Service,E01002878,Kensington and Chelsea 003C,1141,284,1,0.049,27.75
Metropolitan Police Service,E01032764,Tower Hamlets 004E,1138,285,1,0.049,27.79
Metropolitan Police Service,E01002884,Kensington and Chelsea 006C,1136,286,1,0.048,27.84
Metropolitan Police Service,E01033931,Brent 009F,1136,286,1,0.048,27.89
Metropolitan Police Service,E01034143,Croydon 020H,1135,288,1,0.048,27.94
Metropolitan Police Service,E01003557,Newham 006D,1133,289,1,0.048,27.99
Metropolitan Police Service,E01034609,Hillingdon 022H,1133,289,1,0.048,28.04
Metropolitan Police Service,E01004205,Tower Hamlets 013A,1132,291,1,0.048,28.09
Metropolitan Police Service,E01004251,Tower Hamlets 023A,1130,292,1,0.048,28.13
Metropolitan Police Service,E01001536,Enfield 008B,1128,293,1,0.048,28.18
Metropolitan Police Service,E01002370,Havering 028C,1117,294,1,0.048,28.23
Metropolitan Police Service,E01033929,Brent 002F,1110,295,1,0.047,28.28
Metropolitan Police Service,E01002826,Kensington and Chelsea 008C,1109,296,1,0.047,28.32
Metropolitan Police Service,E01035672,Tower Hamlets 012G,1106,297,1,0.047,28.37
Metropolitan Police Service,E01003690,Redbridge 035A,1105,298,1,0.047,28.42
Metropolitan Police Service,E01003525,Newham 018D,1104,299,1,0.047,28.47
Metropolitan Police Service,E01002847,Kensington and Chelsea 015B,1101,300,1,0.047,28.51
Metropolitan Police Service,E01033604,Westminster 009J,1101,300,1,0.047,28.56
Metropolitan Police Service,E01000942,Camden 029C,1099,302,1,0.047,28.61
Metropolitan Police Service,E01004211,Tower Hamlets 013D,1097,303,1,0.047,28.65
Metropolitan Police Service,E01003517,Newham 036E,1096,304,1,0.047,28.70
Metropolitan Police Service,E01033712,Hackney 023G,1096,304,1,0.047,28.75
Metropolitan Police Service,E01000938,Camden 029A,1089,306,1,0.046,28.79
Metropolitan Police Service,E01001252,Ealing 030B,1089,306,1,0.046,28.84
Metropolitan Police Service,E01001641,Greenwich 038B,1088,308,1,0.046,28.89
Metropolitan Police Service,E01001558,Enfield 033E,1086,309,1,0.046,28.93
Metropolitan Police Service,E01003973,Southwark 016E,1086,309,1,0.046,28.98
Metropolitan Police Service,E01034038,Hounslow 017F,1084,311,1,0.046,29.02
Metropolitan Police Service,E01000973,Camden 010E,1083,312,1,0.046,29.07
Metropolitan Police Service,E01000956,Camden 022E,1082,313,1,0.046,29.12
Metropolitan Police Service,E01001118,Croydon 020E,1081,314,1,0.046,29.16
Metropolitan Police Service,E01033591,Redbridge 039A,1081,314,1,0.046,29.21
Metropolitan Police Service,E01002763,Islington 007D,1079,316,1,0.046,29.26
Metropolitan Police Service,E01001362,Ealing 026C,1075,317,1,0.046,29.30
Metropolitan Police Service,E01034036,Hounslow 015F,1073,318,1,0.046,29.35
Metropolitan Police Service,E01001808,Hackney 001A,1072,319,1,0.046,29.39
Metropolitan Police Service,E01001578,Greenwich 003D,1064,320,1,0.045,29.44
Metropolitan Police Service,E01033940,Brent 035B,1061,321,1,0.045,29.48
Metropolitan Police Service,E01002236,Harrow 011E,1056,322,1,0.045,29.53
Metropolitan Police Service,E01003497,Newham 034A,1056,322,1,0.045,29.57
Metropolitan Police Service,E01003979,Southwark 006E,1053,324,1,0.045,29.62
Metropolitan Police Service,E01001890,Hammersmith and Fulham 016C,1052,325,1,0.045,29.66
Metropolitan Police Service,E01003503,Newham 030D,1051,326,1,0.045,29.71
Metropolitan Police Service,E01034395,Lewisham 040D,1049,327,1,0.045,29.75
Metropolitan Police Service,E01003674,Redbridge 007G,1048,328,1,0.045,29.80
Metropolitan Police Service,E01033935,Brent 020F,1045,329,1,0.045,29.84
Metropolitan Police Service,E01002368,Havering 028A,1041,330,1,0.044,29.89
Metropolitan Police Service,E01001990,Haringey 034C,1037,331,1,0.044,29.93
Metropolitan Police Service,E01000392,Bexley 016B,1036,332,1,0.044,29.97
Metropolitan Police Service,E01001666,Greenwich 041G,1036,332,1,0.044,30.02
Metropolitan Police Service,E01035650,Hackney 031C,1034,334,1,0.044,30.06
Metropolitan Police Service,E01035713,Kensington and Chelsea 016F,1034,334,1,0.044,30.11
Metropolitan Police Service,E01001800,Hackney 004C,1031,336,1,0.044,30.15
Metropolitan Police Service,E01000586,Brent 032E,1030,337,1,0.044,30.20
Metropolitan Police Service,E01004178,Sutton 017D,1029,338,1,0.044,30.24
Metropolitan Police Service,E01002713,Islington 015C,1028,339,1,0.044,30.28
Metropolitan Police Service,E01003969,Southwark 017B,1027,340,1,0.044,30.33
Metropolitan Police Service,E01033876,Southwark 012H,1025,341,1,0.044,30.37
Metropolitan Police Service,E01033868,Southwark 002G,1024,342,1,0.044,30.41
Metropolitan Police Service,E01002852,Kensington and Chelsea 001A,1022,343,1,0.044,30.46
Metropolitan Police Service,E01035641,Hackney 020G,1022,343,1,0.044,30.50
Metropolitan Police Service,E01033938,Brent 027H,1021,345,1,0.044,30.54
Metropolitan Police Service,E01034212,Newham 034N,1019,346,1,0.043,30.59
Metropolitan Police Service,E01000335,Bexley 003B,1016,347,1,0.043,30.63
Metropolitan Police Service,E01035655,Islington 020F,1015,348,1,0.043,30.67
Metropolitan Police Service,E01004422,Waltham Forest 022A,1014,349,1,0.043,30.72
Metropolitan Police Service,E01034486,Waltham Forest 014G,1014,349,1,0.043,30.76
